% ID         RA        Dec     Ebv   Gal Long  Gal Lat   Ecl Long  Ecl Lat   Entry 
000244  250.99629   -2.37870   0.22   14.8269   26.7750  249.7783   19.7364    244 
000245  253.50625   -2.37870   0.24   16.2927   24.6431  252.4231   20.0598    245 
000246  256.01621   -2.37870   0.25   17.7049   22.4951  255.0786   20.3392    246 
000247  258.52617   -2.37870   0.53   19.0695   20.3328  257.7435   20.5737    247 
000248  261.03614   -2.37870   0.47   20.3923   18.1580  260.4162   20.7629    248 
000249  263.54610   -2.37870   0.31   21.6783   15.9722  263.0951   20.9060    249 
000250  266.05606   -2.37870   0.44   22.9324   13.7767  265.7786   21.0028    250 
000251  268.56603   -2.37870   0.56   24.1590   11.5728  268.4648   21.0529    251 
000252  271.07599   -2.37870    1.1   25.3623    9.3617  271.1520   21.0563    252 
000253  273.58595   -2.37870   1.63   26.5463    7.1444  273.8385   21.0128    253 
000254  276.09591   -2.37870   1.41   27.7148    4.9221  276.5224   20.9227    254 
000255  278.60588   -2.37870    1.1   28.8715    2.6956  279.2021   20.7861    255 
000256  281.11584   -2.37870   8.84   30.0199    0.4659  281.8757   20.6035    256 
000257  283.62580   -2.37870    2.2   31.1635   -1.7660  284.5418   20.3754    257 
000258  286.13577   -2.37870   0.66   32.3058   -3.9993  287.1988   20.1024    258 
000259  288.64573   -2.37870   0.49   33.4503   -6.2331  289.8452   19.7852    259 
000260  291.15569   -2.37870   0.29   34.6004   -8.4665  292.4797   19.4248    260 
000261  293.66565   -2.37870   0.29   35.7599  -10.6986  295.1012   19.0220    261 
000262  296.17562   -2.37870   0.17   36.9323  -12.9285  297.7085   18.5781    262 
000263  298.68558   -2.37870   0.33   38.1218  -15.1551  300.3008   18.0940    263 
000264  301.19554   -2.37870   0.41   39.3322  -17.3775  302.8773   17.5710    264 
000265  303.70551   -2.37870   0.14   40.5681  -19.5945  305.4373   17.0105    265 
000266  306.21547   -2.37870   0.08   41.8342  -21.8051  307.9806   16.4137    266 
000267  308.72543   -2.37870    0.1   43.1355  -24.0079  310.5066   15.7821    267 
000268  311.23539   -2.37870   0.06   44.4776  -26.2016  313.0153   15.1172    268 
000269  313.74536   -2.37870   0.07   45.8667  -28.3847  315.5067   14.4204    269 
000270  316.25532   -2.37870   0.06   47.3094  -30.5554  317.9809   13.6933    270 
000271  318.76528   -2.37870   0.05   48.8132  -32.7118  320.4382   12.9375    271 
000272  321.27525   -2.37870   0.06   50.3865  -34.8517  322.8789   12.1544    272 
000273  323.78521   -2.37870   0.04   52.0387  -36.9728  325.3036   11.3458    273 
000274  326.29517   -2.37870   0.04   53.7802  -39.0723  327.7129   10.5132    274 
000275  328.80513   -2.37870   0.13   55.6228  -41.1469  330.1075    9.6583    275 
000276  331.31510   -2.37870   0.12   57.5798  -43.1928  332.4882    8.7826    276 
000277  333.82506   -2.37870   0.06   59.6663  -45.2059  334.8560    7.8878    277 
000278  336.33502   -2.37870   0.09   61.8991  -47.1811  337.2118    6.9756    278 
000279  338.84499   -2.37870   0.05   64.2970  -49.1126  339.5567    6.0474    279 
000280  341.35495   -2.37870   0.04   66.8811  -50.9935  341.8918    5.1050    280 
000281  343.86491   -2.37870   0.06   69.6744  -52.8158  344.2182    4.1500    281 
000282  346.37487   -2.37870   0.06   72.7018  -54.5702  346.5373    3.1840    282 
000283  348.88484   -2.37870   0.03   75.9894  -56.2458  348.8502    2.2086    283 
000284  351.39480   -2.37870   0.05   79.5637  -57.8301  351.1583    1.2255    284 
000285  353.90476   -2.37870   0.04   83.4497  -59.3086  353.4629    0.2361    285 
000286  356.41473   -2.37870   0.03   87.6682  -60.6651  355.7654   -0.7578    286 
000287    0.00000   -4.75740   0.03   91.9371  -64.4880  358.1039   -4.3640    287 
000288    2.51647   -4.75740   0.03   97.3186  -65.5507    0.4117   -5.3649    288 
000289    5.03294   -4.75740   0.02  103.1043  -66.4165    2.7234   -6.3654    289 
000290    7.54941   -4.75740   0.04  109.2431  -67.0629    5.0404   -7.3641    290 
000291   10.06588   -4.75740   0.04  115.6492  -67.4710    7.3642   -8.3591    291 
000292   12.58235   -4.75740   0.05  122.2063  -67.6276    9.6963   -9.3490    292 
000293   15.09882   -4.75740   0.04  128.7788  -67.5274   12.0379  -10.3320    293 
000294   17.61529   -4.75740   0.03  135.2291  -67.1738   14.3905  -11.3064    294 
000295   20.13176   -4.75740   0.03  141.4353  -66.5785   16.7554  -12.2706    295 
000296   22.64823   -4.75740   0.03  147.3044  -65.7591   19.1341  -13.2228    296 
000297   25.16470   -4.75740   0.02  152.7776  -64.7377   21.5277  -14.1614    297 
000298   27.68117   -4.75740   0.02  157.8285  -63.5378   23.9375  -15.0846    298 
